No Task in Sync
25 each client

Sync 2 52 646.3674
Async 2 52 556.128
Sync 4 104 1059.1444
Async 4 104 671.5977
Sync 6 156 4200.8096
Async 6 156 679.1508
Sync 8 208 8747.7195
Async 8 208 773.5681
Sync 10 260 43821.8567
Async 10 260 811.7939
Sync 12 312 76919.7212
Async 12 312 910.0918
Sync 14 364 105027.3784
Async 14 364 977.6254
Sync 16 416 137179.0876
Async 16 416 1078.4794


Task.Run in Sync
25 Each ClientSync 2 52 614.0442
Async 2 52 662.5737
Sync 4 104 635.2245
Async 4 104 639.8006
Sync 6 156 4643.5973
Async 6 156 637.9717
Sync 8 208 5675.6868
Async 8 208 757.3167
Sync 10 260 7728.3322
Async 10 260 811.471
Sync 12 312 8288.1384
Async 12 312 945.9385
Sync 14 364 10896.5501
Async 14 364 941.2143
Sync 16 416 14381.4642
Async 16 416 1080.8299
Sync 18 468 14863.1471
Sync 5 55 2600.9531
Async 5 55 662.4399
Sync 5 55 2580.979
Async 5 55 625.0143
Sync 5 55 2594.6618
Async 5 55 625.1337
Sync 5 55 2603.8989
Async 5 55 613.6044
Sync 2 22 579.433
Async 2 22 572.1096
Sync 2 22 575.8614
Async 2 22 565.3165
Sync 2 22 586.1583
Async 2 22 552.1122
Sync 2 22 591.3876
Async 2 22 579.1299
Sync 2 22 585.8752
Async 2 22 590.5629
Sync 2 22 581.6615
Async 2 22 661.7447
Sync 2 22 602.2131
Async 2 22 552.2007
Sync 2 22 607.7856
Async 2 22 664.0802
Sync 5 55 2582.128
Async 5 55 627.507
